Disease,Symptom(problem by user),Prescription and diagnosis
Psoriatic Arthritis,"Joint pain, stiffness, and swelling, skin changes characteristic of psoriasis, nail changes (pitting, crumbling)","Medications (NSAIDs, disease-modifying antirheumatic drugs - DMARDs, biologics), physical therapy, lifestyle changes (exercise, stress management), joint injections"
Psychosis,"Hallucinations (seeing or hearing things that aren't there), delusions (false beliefs), disorganized thinking","Antipsychotic medications, psychotherapy (cognitive-behavioral therapy, supportive therapy), hospitalization (in severe cases), support groups, family education and support"
Pubic Lice,"Itching in the genital area, visible lice or eggs (nits) attached to pubic hair, blue spots or red bite marks","Topical medications (permethrin, pyrethrin), lice-killing shampoo, manual removal of lice and nits, washing bedding and clothing in hot water"
Obesity,"Excessive body fat accumulation, BMI ≥ 30, increased risk of health problems (diabetes, heart disease, etc.)","Lifestyle changes (diet, exercise), behavioral therapy, medications (appetite suppressants, anti-obesity drugs), weight loss surgery (bariatric surgery), support groups"
Obsessive-Compulsive Disorder (OCD),"Obsessions (intrusive, unwanted thoughts or images), compulsions (repetitive behaviors or mental acts), anxiety","Psychotherapy (cognitive-behavioral therapy - CBT), medications (selective serotonin reuptake inhibitors - SSRIs, tricyclic antidepressants), exposure and response prevention (ERP), support groups"
Obstructive Sleep Apnea,"Loud snoring, pauses in breathing during sleep, gasping or choking during sleep, daytime sleepiness, morning headaches","Continuous positive airway pressure (CPAP) therapy, oral appliances, surgery (to remove excess tissue or correct anatomical abnormalities), lifestyle changes (weight loss, avoiding alcohol and sedatives)"
Oesophageal Cancer,"Difficulty swallowing (dysphagia), chest pain or discomfort, unexplained weight loss, persistent heartburn or indigestion","Treatment depends on tumor stage and health status: Surgery (esophagectomy), chemotherapy, radiation therapy, targeted therapy, immunotherapy, palliative care"
Oral Thrush in Adults,"White patches on the tongue, inner cheeks, gums, or tonsils, soreness or burning sensation, difficulty swallowing","Antifungal medications (nystatin, fluconazole), antifungal mouthwash or lozenges, proper oral hygiene, avoiding irritants (smoking, alcohol)"
Osteoporosis,"Bone fractures (especially in the hip, spine, or wrist), loss of height over time, stooped posture, back pain","Medications (bisphosphonates, hormone therapy, denosumab), calcium and vitamin D supplements, weight-bearing exercise, fall prevention strategies, lifestyle changes (quit smoking, limit alcohol)"
Osteosarcoma,"Bone pain (localized, worsening over time), swelling or lump near a bone, limited range of motion, unexplained weight loss","Treatment depends on tumor stage and location: Surgery (limb-sparing surgery or amputation), chemotherapy, radiation therapy, targeted therapy, clinical trials"
Outer Ear Infection (Otitis Externa),"Ear pain (especially when touching or pulling the ear), itching in the ear canal, drainage of fluid or pus","Topical antibiotics (ear drops), corticosteroids (for inflammation), pain relievers (acetaminophen, ibuprofen), keeping the ear dry and clean, avoiding swimming"
Ovarian Cancer,"Abdominal or pelvic pain, bloating, feeling full quickly, changes in bowel or bladder habits, unexplained weight loss","Treatment depends on tumor stage and health status: Surgery (hysterectomy, oophorectomy), chemotherapy, radiation therapy, targeted therapy, immunotherapy, clinical trials"
Ovarian Cancer in Teenagers and Young Adults,"Same as above, plus irregular menstrual cycles, abdominal or pelvic masses","Same as above, tailored to the individual's age and circumstances"
Ovarian Cyst,"Pelvic pain or pressure, bloating, changes in menstrual periods, pain during intercourse, frequent urination","Observation (many cysts resolve on their own), medications (birth control pills to prevent new cysts), surgery (cystectomy or oophorectomy for large or persistent cysts), follow-up monitoring"
Overactive Thyroid,"Rapid heartbeat (palpitations), weight loss, anxiety, tremors, heat intolerance, increased sweating","Medications (antithyroid drugs - methimazole, propylthiouracil), radioactive iodine therapy, surgery (thyroidectomy), beta-blockers (for symptom relief), regular monitoring of thyroid function"
Paget’s Disease of the Nipple,"Redness, scaling, or crusting of the nipple or areola, itching, burning sensation, flattened or inverted nipple",
Labyrinthitis,"Vertigo (spinning sensation), dizziness, nausea, vomiting, imbalance, hearing loss, ringing in the ears (tinnitus), ear pain or pressure, blurred vision, nystagmus (involuntary eye movements).","Treatment focuses on managing symptoms and treating the underlying cause (usually viral or bacterial infection), may include vestibular rehabilitation therapy, medications (antibiotics for bacterial infection, corticosteroids for inflammation, antihistamines for nausea and vomiting), motion sickness medications, lifestyle modifications (rest, hydration, avoiding triggers), balance exercises."
Lactose Intolerance,"Bloating, gas, diarrhea, abdominal cramps or pain, nausea, rumbling stomach, vomiting.","Management involves avoiding or limiting lactose-containing foods and beverages, lactase enzyme supplements, dairy alternatives (lactose-free products, plant-based milk), probiotics, calcium and vitamin D supplementation, dietary modifications, reading food labels, gradual reintroduction of lactose-containing foods to identify tolerance levels."
Laryngeal (Larynx) Cancer,"Hoarseness or voice changes, persistent cough, sore throat or pain when swallowing, difficulty swallowing, lump in the neck, ear pain, weight loss, breathing difficulties, frequent throat clearing.","Treatment depends on the stage and location of cancer, may include surgery (laryngectomy), radiation therapy, chemotherapy, targeted therapy, immunotherapy, speech therapy, swallowing therapy, nutritional support, management of symptoms and side effects, rehabilitation, support groups, palliative care."
Laryngitis,"Hoarseness, loss of voice, sore throat, dry cough, tickling sensation in the throat, difficulty swallowing, swollen glands (lymph nodes) in the neck.","Resting the voice, hydration, humidification (steam inhalation), throat lozenges or sprays, avoiding irritants (smoking, alcohol, caffeine), voice therapy, treating underlying causes (bacterial infection: antibiotics, acid reflux: proton pump inhibitors), avoiding speaking loudly or shouting, vocal rest, seeking medical advice if symptoms persist."
Leg Cramps,"Sudden, involuntary muscle contractions or spasms, usually in the calf muscles, pain or tenderness in the affected area, stiffness, visible or palpable knots in the muscle.","Stretching and massaging the affected muscle, applying heat or cold packs, staying hydrated, ensuring adequate electrolyte balance (potassium, magnesium), gentle exercise, maintaining a balanced diet, avoiding prolonged sitting or standing, addressing underlying causes (dehydration, electrolyte imbalances, muscle fatigue), medications (in severe cases)."
Lichen Planus,"Itchy, flat-topped bumps (papules) or lesions, typically on the skin, genitals, or inside the mouth, white, lacy patches (oral lichen planus), painful sores, burning sensation, ulcers, hair loss, nail damage.","Treatment depends on the location and severity of lesions, may include topical corticosteroids, oral corticosteroids, antihistamines, topical calcineurin inhibitors, oral immunosuppressants, oral retinoids, phototherapy, topical numbing agents (for oral lesions), avoiding triggers (stress, certain foods), maintaining good oral hygiene, regular follow-up with a dermatologist."
Lipoedema,"Enlargement of the legs or buttocks due to abnormal accumulation of fat, bilateral and symmetrical swelling, tenderness or pain, easy bruising, feeling of heaviness in the legs, ""column-like"" appearance of legs, limited mobility, joint pain.","Management focuses on symptom relief and slowing disease progression, may include compression therapy (wearing compression garments), manual lymphatic drainage, exercise (low-impact activities), weight management, dietary changes, lymph-sparing liposuction, medications (pain relievers, anti-inflammatory drugs), psychological support, support groups."
Liver Cancer,"Abdominal pain or tenderness, enlarged liver (hepatomegaly), jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, nausea, vomiting, weakness, fatigue, bloating, fluid buildup in the abdomen (ascites), itching.","Treatment depends on the stage and extent of cancer, may include surgery (resection, liver transplant), ablation therapies (radiofrequency ablation, microwave ablation), chemotherapy, targeted therapy, immunotherapy, radiation therapy, chemoembolization, supportive care (pain management, nutritional support), clinical trials."
Liver Disease,"Fatigue, weakness, nausea, vomiting, loss of appetite, weight loss, jaundice (yellowing of the skin and eyes), swelling in the abdomen, abdominal pain or tenderness, itching, dark urine, pale stools, fluid retention (edema), mental confusion.","Treatment varies depending on the underlying cause and severity of liver disease, may include lifestyle modifications (diet, exercise, alcohol cessation), medications (to manage symptoms, treat underlying conditions), dietary supplements, liver transplant (in severe cases), managing complications (ascites, hepatic encephalopathy), clinical trials."
Liver Tumours,"Abdominal pain or tenderness, enlarged liver (hepatomegaly), jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, nausea, vomiting, weakness, fatigue, bloating, fluid buildup in the abdomen (ascites), itching.","Treatment depends on the type of tumor, its location, and stage, may include surgery (resection, liver transplant), ablation therapies (radiofrequency ablation, microwave ablation), chemotherapy, targeted therapy, immunotherapy, radiation therapy, chemoembolization, supportive care (pain management, nutritional support), clinical trials."
Loss of Libido,"Decreased interest in sexual activity, reduced sexual desire or arousal, difficulty achieving orgasm, sexual dissatisfaction, relationship issues, stress, fatigue, hormonal imbalances, medical conditions, medications, psychological factors.","Treatment depends on the underlying cause, may include addressing relationship issues, stress reduction techniques, lifestyle modifications (exercise, healthy diet, adequate sleep), therapy (sex therapy, couples therapy), hormone therapy (for hormonal imbalances), medications (for underlying medical conditions), addressing psychological factors."
Lung Cancer,"Persistent cough, coughing up blood or bloody mucus, chest pain, wheezing, hoarseness, shortness of breath, recurrent respiratory infections, fatigue, unexplained weight loss, bone pain, headaches.","Treatment depends on the type, stage, and location of cancer, may include surgery (resection, lobectomy), chemotherapy, radiation therapy, targeted therapy, immunotherapy, clinical trials, palliative care (to manage symptoms and improve quality of life), supportive care (pain management, nutritional support), rehabilitation."
Lupus,"Fatigue, joint pain or swelling, skin rashes (butterfly-shaped rash on the face, discoid rash), fever, chest pain, hair loss, sensitivity to light (photosensitivity), mouth ulcers, Raynaud's phenomenon, dry eyes, shortness of breath, confusion",
,"Muscle weakness or pain, fatigue, joint pain or arthritis, breathing or swallowing difficulties",
Nasal and Sinus Cancer,"Persistent nasal congestion or obstruction, nosebleeds, facial pain or numbness, headaches, vision changes","Treatment depends on tumor stage and health status: Surgery (resection), radiation therapy, chemotherapy, targeted therapy, immunotherapy, palliative care"
Nasopharyngeal Cancer,"Neck lump, nasal congestion or bleeding, hearing loss, ringing in the ears (tinnitus), ear infections or pain","Treatment depends on tumor stage and health status: Radiation therapy, chemotherapy, targeted therapy, immunotherapy, surgery (for certain cases), palliative care"
Neuroblastoma in Children,"Lump or mass (often in the abdomen), bone pain, unexplained weight loss, abdominal distension, fever","Treatment depends on tumor stage and health status: Surgery (tumor resection), chemotherapy, radiation therapy, stem cell transplantation, immunotherapy, clinical trials"
Neuroendocrine Tumors,"Symptoms vary depending on tumor location and hormone secretion: Carcinoid syndrome (flushing, diarrhea), insulinoma (hypoglycemia), gastrinoma (peptic ulcers), etc.","Treatment depends on tumor type, size, and location: Surgery (tumor removal), medications (somatostatin analogs, targeted therapy), chemotherapy, radiation therapy, embolization, symptom management"
Non-Alcoholic Fatty Liver Disease (NAFLD),"Fat accumulation in the liver (often asymptomatic), enlarged liver, fatigue, abdominal discomfort or pain","Lifestyle changes (weight loss, healthy diet, regular exercise), management of underlying conditions (diabetes, dyslipidemia), medications (vitamin E, insulin sensitizers), regular monitoring of liver function"
Non-Hodgkin Lymphoma,"Swollen lymph nodes (often painless), fever, night sweats, unexplained weight loss, fatigue","Treatment depends on lymphoma subtype, stage, and health status: Chemotherapy, radiation therapy, targeted therapy, immunotherapy, stem cell transplantation, clinical trials, watchful waiting, palliative care"
Non-Hodgkin Lymphoma in Children,"Same as above, plus frequent infections, abdominal pain or swelling, difficulty breathing, skin lesions","Same as above, tailored to the individual's age and circumstances"
Norovirus,"Nausea, vomiting, diarrhea, stomach cramps, low-grade fever, headache","Symptomatic relief (hydration, electrolyte replacement), rest, avoiding food handling and close contact with others during illness, good hygiene practices"
Nosebleed,"Bleeding from the nose (epistaxis), may be spontaneous or triggered by trauma, dry air, or underlying conditions","Most nosebleeds stop on their own: Pinching the nostrils, leaning forward, applying ice, nasal packing (for severe bleeding), cautery or nasal surgery (for recurrent or severe nosebleeds)"
Malaria,"Fever, chills, sweats, headache, muscle aches, fatigue, nausea, vomiting","Antimalarial medications (chloroquine, artemisinin-based combination therapy - ACT), supportive care (hydration, rest), prevention measures (bed nets, insect repellents, antimalarial drugs)"
Malignant Brain Tumor (Cancerous),"Headaches (usually worsen in the morning), seizures, nausea or vomiting, vision or hearing changes, personality changes","Treatment depends on tumor type, size, and location: Surgery (tumor resection), chemotherapy, radiation therapy, targeted therapy, immunotherapy, supportive care"
Malnutrition,"Weight loss, fatigue, weakened immune system, delayed wound healing, thinning hair, swollen or bleeding gums","Treatment depends on underlying cause and severity: Nutritional supplements (vitamins, minerals), dietary changes (increased calorie and protein intake), addressing underlying medical conditions, counseling, support groups"
Measles,"Fever, cough, runny nose, red eyes, sore throat, rash (starts on the face and spreads down the body)","Supportive care (rest, hydration, fever management), vitamin A supplementation, antiviral medications (in severe cases), prevention through vaccination"
Meningitis,"Headache, fever, stiff neck, nausea or vomiting, sensitivity to light, confusion, seizures","Treatment depends on the type of meningitis: Antibiotics (for bacterial meningitis), antiviral medications (for viral meningitis), corticosteroids, supportive care (hydration, pain management), prevention through vaccination"
Menopause,"Irregular periods, hot flashes, night sweats, vaginal dryness, mood changes, difficulty sleeping","Symptomatic relief (hormone replacement therapy - HRT, antidepressants), lifestyle changes (diet, exercise), vaginal lubricants or moisturizers, bone health supplements"
Mesothelioma,"Chest pain, shortness of breath, cough, fatigue, weight loss, abdominal swelling (in peritoneal mesothelioma)","Treatment depends on tumor stage and health status: Surgery (tumor removal), chemotherapy, radiation therapy, immunotherapy, clinical trials, palliative care"
Middle Ear Infection (Otitis Media),"Ear pain, fluid drainage from the ear, hearing loss, fever, irritability (in children), feeling of fullness in the ear","Treatment depends on the severity and cause: Antibiotics (if bacterial), pain relievers, eardrops, warm compresses, rest, avoiding irritants (smoking, allergens), tympanostomy tubes (for recurrent infections)"
Migraine,"Recurrent headaches (often one-sided, throbbing), sensitivity to light, sound, or smells, nausea or vomiting","Medications (pain relievers, triptans, preventive medications), lifestyle changes (stress management, regular sleep and meals), relaxation techniques, avoiding triggers"
Miscarriage,"Vaginal bleeding or spotting, cramping or abdominal pain, passing tissue or clot-like material, loss of pregnancy symptoms","Treatment depends on timing and circumstances: Observation (for incomplete miscarriage), medications (to induce miscarriage completion), dilation and curettage (D&C), emotional support, future pregnancy planning"
Motor Neurone Disease (MND),"Muscle weakness or wasting, difficulty speaking, swallowing, or breathing, muscle twitching or cramps","Treatment aims to manage symptoms and improve quality of life: Medications (to manage symptoms), physical therapy, speech therapy, respiratory support, assistive devices, clinical trials, palliative care"
Mouth Cancer,"Mouth or lip sores that don't heal, lumps or thickening in the mouth, difficulty chewing or swallowing, jaw or tongue pain","Treatment depends on tumor stage and health status: Surgery (tumor removal), radiation therapy, chemotherapy, targeted therapy, immunotherapy, rehabilitation, supportive care"
Mouth Ulcer,"Painful sores or lesions in the mouth, usually on the tongue, gums, or inner cheeks","Symptomatic relief (pain relievers, topical gels or mouthwashes), avoiding irritants (spicy or acidic foods), maintaining good oral hygiene"
Multiple Myeloma,"Bone pain (especially in the back or ribs), weakness or fatigue, frequent infections, unexplained weight loss","Treatment depends on tumor stage and health status: Chemotherapy, targeted therapy, immunotherapy, stem cell transplantation, radiation therapy, supportive care, clinical trials"
Multiple Sclerosis (MS),"Fatigue, numbness or weakness in limbs, vision problems, tremors, difficulty walking or coordinating movements","Treatment aims to manage symptoms, slow disease progression, and improve quality of life: Medications (disease-modifying therapies, symptom management), physical therapy, occupational therapy, speech therapy, lifestyle changes"
Mumps,"Swollen, painful salivary glands (usually near the jaw), fever, headache, muscle aches, tiredness","Supportive care (rest, hydration, pain relievers), isolation (to prevent spread), prevention through vaccination"
Meniere’s Disease,"Vertigo (spinning sensation), hearing loss, ringing in the ears (tinnitus), feeling of fullness or pressure in the ear","Symptomatic relief (medications for vertigo, anti-nausea drugs), lifestyle changes (diet, stress management), vestibular rehabilitation therapy, hearing aids (for hearing loss), surgery (in severe cases)"
Myasthenia Gravis,"Muscle weakness (especially in the face, eyes, throat, and limbs), drooping eyelids, double vision, difficulty speaking or swallowing","Treatment aims to improve muscle strength and manage symptoms: Medications (acetylcholinesterase inhibitors, immunosuppressants), thymectomy (surgical removal of thymus), plasma exchange, supportive care"
